Author	Text	Location	Datetime
AboobakrFaisal	RT @BBCBreaking: #PanamaPapers law firm had clients subject to sanctions on North Korea, Iran, Zimbabwe https://t.co/M7Cs9N3qge https://t.c…	Maldives	18:30:28 04/04/2016
josecybrs	RT @LuzVioleta09: #PanamaPapers #PlataSucia https://t.co/gL4nKHDIiN	Argentina	18:20:09 04/04/2016
Freylix	RT @TED_ED: The #PanamaPapers highlight how anonymity fuels corruption: https://t.co/Znsn1OImXS https://t.co/1MxyCsEFoE	Coro, Venezuela	18:25:40 04/04/2016
AlexanderParete	"#Panama Papers"  https://t.co/HGOQ56eHO4 https://t.co/JTonqMLndD	Ontario, Canada	18:27:12 04/04/2016
Cayo_S_Graco	RT @FMLaOportunidad: EXCLUSIVO: Mauricio Macri es vicepresidente de otra empresa en Panamá que aún está activa https://t.co/8l8No0DAOu vía…	None	18:28:50 04/04/2016
Zurine3	RT @HombreyLeyenda: ¿Quién aparece en los #panamapapers ? https://t.co/C8cDsudHmz  @Zurine3 @7Josean7 @sanfermin00 @Ederne_F @XBescos @kitt…	Bilbao	18:30:14 04/04/2016
Jeffrey74749980	RT @TheMurdochTimes: Fast growing crowd outside Iceland's Parliament, crowd calling for Prime Minister's resignation over #PanamaPapers htt…	Arizona, USA	18:31:27 04/04/2016
NorwichLeft	RT @fiddelyfoof: @EtonOldBoys If there was any link between Corbyn and Panama the BBC would have devoted their entire news output to cover…	None	17:20:49 04/04/2016
1_Greek	Ο Σταύρος Παπασταύρου στα έγγραφα των offshore...Panama Papers https://t.co/4wknlLfCo0 on @bloglovin	Χαλκίδα	17:21:48 04/04/2016
bbrown511	RT @GrayInGlasgow: Breaking: HSBC bank &amp; Royal Bank of Scotland are implicated in the breaking global tax haven scandal. #PanamaPapers	Glasgow	17:24:29 04/04/2016
scottlawyer	RT @davidsirota: This seems relevant to the debate over the #PanamaPapers, considering the explicit warnings at the time https://t.co/O3ZE6…	St. Petersburg, FL 	17:21:10 04/04/2016
PeteOnTheA419	In fairness, #Cameron's family outed as being in it up to their necks. https://t.co/4OYClAnJoD #panamapapers  https://t.co/IdR7yy9HTp	Swindon	17:24:03 04/04/2016
19HRuthElkrief	"Le #G20 a réalisé que les sommes perdues niveau fiscalité étaient énormes" dit @ChrisChavagneux chez @ruthelkrief #panamapapers	None	17:24:02 04/04/2016
informacion_ve	NoticiasVenezue: Instan a la Fiscalía a investigar a venezolanos involucrados en los Panamá Papers https://t.co/pDzQWRQzy4	Venezuela	17:16:20 04/04/2016
eyrova	RT @AlfonsoAGP: Welcome to Panama!  Can I offer you some coconut? Pineapple? An untraceable bank account tied to an anonymous corporation?…	Panamá, Panama	17:18:38 04/04/2016
oterojuliao	Estos son los personajes en los 'papeles de Panamá' - Latinoamérica - El Tiempo https://t.co/v9vtc4K5u5	Barranquilla	17:19:43 04/04/2016
xafbcn	Llista de viatges: Andorra ✔ Liechtenstein ✔ Panamá ❌ Guernsey ❌ Barbados ❌	Barcelona	17:23:59 04/04/2016
jagokdu	#dwdd #panamapapers toezicht!? In Nederland gedogen we liever. Lekker makkelijk en goedkoop en zo houden we iedereen te vriend....	None	17:25:11 04/04/2016
fvega300	Mossack Fonseca llevó cuentas de Caro Quintero: #PanamaPapers https://t.co/ngfMeTfNut	MEXICO,CITY	17:16:34 04/04/2016
jk20142014	RT @mseuca: Since #Cameron has become PM, there has been big #HMRC staff cuts, any coincidence? #taxavoidance #panamapapers	None	17:19:54 04/04/2016
TulumConMau	Presidente de "Chile Transparente", vinculado a Panamá Papers https://t.co/QN94G5N58g	None	17:21:06 04/04/2016
Resistencia1602	RT @InfobaeAmerica: Rusia acusa a Occidente de "putinofobia" y a los Estados Unidos de filtrar los Panamá Papers https://t.co/DPtQVQoVCO ht…	 venezuela	17:23:46 04/04/2016
FranPatogenLoco	RT @maruduffard: Para @gabimichetti la Oficina Anticorrupción debería iniciar una investigación x la mención de Macri en Panama Papers @rad…	None	17:17:25 04/04/2016
Birmelisi	RT @ElNacionalWeb: Venezuela tiene  241.000 menciones en la masiva filtración de Panamá Papers https://t.co/gU7mvKjvX9 https://t.co/kZxDYhT…	None	17:18:55 04/04/2016
rloeffle	RT @JF_Hoffgaard: Putin ist schon ein Phänomen. Er steht zwar nicht in den #panamapapers, doch alle reden über ihn.	None	17:20:12 04/04/2016
Anto_R3y	eleconomista: La vicepresidenta y canciller de Panamá lamentó las filtraciones sobre blanqueo de capitales. https://t.co/4FpjvQanCn	Playa del Carmen 	17:20:12 04/04/2016
almapinson	RT @jbchastand: Devant le parlement islandais #panamaleaks https://t.co/1t6NC4x3BZ	None	17:24:13 04/04/2016
ubipages	RT @BreakingF24: #BREAKING - France opens probe into money laundering and tax fraud after Panama Papers leak https://t.co/x4aejkPugQ https:…	None	17:16:29 04/04/2016
ottman_moreno	RT @infomerida_ve: Los Papeles de Panamá: Cruz Weffer, de jefe del Plan Bolívar 2000 a empresario corrupto https://t.co/kAht4tKCXK https://…	None	17:18:18 04/04/2016
SteegVan	RT @davidsirota: Email shows Clinton State Dept pushing Panama pact amid warnings it would help the rich hide money #PanamaPapers https://t…	Central  Florida	17:18:19 04/04/2016
Quadratin_	Familiares y empleados de los Murat, vinculados en #PanamaPapers  https://t.co/OZRcI5OnCU	Morelia, México	17:23:09 04/04/2016
nelidaalicia	El Gobierno, "en estado de shock", por el escándalo de Panamá Papers https://t.co/khjNP91NLR	argentina Bs As	17:23:15 04/04/2016
ASESORIAARMOR	RT @ArmandoInfo: Cruz Weffer abrió una sociedad en Seychelles en 2007 cuando fue imputado por enriquecimiento ilícito https://t.co/SKEa3xD6…	Venezuela-Panamá-Colombia	17:18:48 04/04/2016
LIDER080	RT @leostaygold: En @elconfidencial: Messi montó otra red de fraude fiscal en Panamá al día siguiente de que le pillara Hacienda con https:…	None	17:22:11 04/04/2016
Pedrocostabati5	Panama Papers revelam 107 novas offshores ligadas a citados na Lava Jato via @FR_BSB #UOL https://t.co/qSG6h0k3VV	None	17:23:35 04/04/2016
CarloslimaHm	RT @stanleyburburin: Gabriel Junqueira Pamplona Skaf, filho de Paulo Skaf(o do pato), atual presidente da Fiesp, está no #PanamaPapers - ht…	None	17:23:40 04/04/2016
Ajan60003	RT @MuneebJanjua4: #PanamaExposeNawaz https://t.co/r0U8L33lQ4	insaaf Zone Quetta ( Ziarat )	17:17:42 04/04/2016
PaolaUrena7561	RT @mujertuitera: #NoEsPorMalPlanPero seguro no sabías estos 5 datos sobre los ''Papeles de Panamá'' https://t.co/f7vZvPfvoo	Puerto vallarta	17:24:42 04/04/2016
karen4013	RT @JamesMelville: Claw the £120 billion back from tax avoidance/evasion &amp; the UK deficit would be wiped out. #TaxHaven #PanamaPapers https…	None	17:24:42 04/04/2016
medericom	RT @tprincedelamour: Le Prince Saoudien décoré par #Hollande de la Légion d'Honneur figure dans les #PanamaPapers. Un immense bravo! https:…	None	17:24:45 04/04/2016
kaminjude	RT @WillBlackWriter: Don't worry plebs About our tax dealing George will sort it out When we prise him from the ceiling  #PanamaLeaks   htt…	Oxfordshire	17:21:43 04/04/2016
Rabanal_02	RT @NachoOrtega: Agustín Edwards ha llenado "El Mercurio" de editoriales y noticias anti reformas. Vaya ironía: ni siquiera tributa en Chil…	Talcahuano / Concepción, Chile	16:21:29 04/04/2016
ricardo29587495	RT @castrofor: Jornal português coloca Cunha na capa do Panama Papers. https://t.co/vQQLtTrSx4 https://t.co/6NA25M5JwZ	São Luís - Maranhão -Brasil. 	16:21:59 04/04/2016
Manuel_Murphy	RT @planwac: El sicariato periodístico alcanza nuevo nivel: Imagen de un militante chavista común  asociado  a #panamapapers ¿? https://t.c…	Caracas - Venezuela	16:26:53 04/04/2016
FANewsdesk	Brace yourselves for #PanamaPapers backlash #PanamaLeaks https://t.co/ove22eSSxn	Southwark 	16:29:35 04/04/2016
Ramonjurado	RT @ForbesFlauta: Como dice Rajoy, hablemos de lo positivo. Qué bonito es el Canal de Panamá... #panamapapers	None	16:23:38 04/04/2016
andynuinsa	#PanamaPapers @moriuper presidente de SA en PTY (Lovemycat) cn movimiento de 200 bolsas de alimento de gato artesanal. Q explicación tiene?	Heredia, Costa Rica	16:25:26 04/04/2016
LaJodarria	RT @nayibbukele: La noticia que está dando vuelta al mundo. Los #PanamaPapers. Los panfletos callados... https://t.co/ya4MUZXlPh https://t.…	None	16:26:48 04/04/2016
marino29b	RT @N36volpe1973: Notizia Bomba: Etruria, l'accusa choc su Renzi: "A Panama società a lui vicine" https://t.co/QFuBE7LNov #info5stelle http…	None	16:26:46 04/04/2016
cecimenaok	RT @_El_Altisimo: Nadie en su sano juicio declara una sociedad en Panamá ante la AFIP como lo hizo Franco Macri, si no está seguro que no v…	None	16:29:28 04/04/2016
melialeimomi	RT @NewsBreaksLive: THE #PANAMA #PAPERS... https://t.co/KtglodZvRl	Jensen Beach, FL	16:30:52 04/04/2016
OffshoreIQ	#Cayman cancel planned press conf on #BeneficialOwnership today while intl media focused on #PanamaPapers #Offshore #HedgeFund #TaxEvasion	Cayman Islands	16:29:51 04/04/2016
asifjaved04	#Jugdes r keeping assets in foreign..it shows thy r sellng #justice at expensive rate @ZarrarKhuhro @Xadeejournalist @dmazubair #PanamaLeaks	#Pakistan	16:31:11 04/04/2016
mattdpearce	~the Panama Papers will become a campaign issue as soon as everybody realizes what the investigations are saying~	matt.pearce@latimes.com	16:31:10 04/04/2016
CampesiChanito	El ICIJ, detrás de los "Panama Papers" https://t.co/9GDmMNTjrj	Colima	16:22:19 04/04/2016
stephenac91	RT @TheHornyHaggis: Don't worry father, even if they do find out, I have #BBCStateTv in my pocket, they'll never report it #panamapapers ht…	Edinburgh, Scotland	16:22:34 04/04/2016
dann_zaxx	CNN: What are the Panama Papers?: On Sunday, the International Consortium of Investigative Journalists publish... https://t.co/N2OGSwz49X	None	16:22:38 04/04/2016
Sheresade7	RT @pictoline: #Panamapapers resumido: https://t.co/UPeWgxmF1J	None	16:24:20 04/04/2016
peroeminal	RT @mlopes: Para já apenas uma única empresa irlandesa na lista. Talvez a ideia de baixar impostos evite mesmo o recurso a off shores. #Pan…	Olivença	16:30:59 04/04/2016
Soy_Stuart	RT @verobrunati: El comunicado de la familia #Messi sobre #PapelesPanama https://t.co/CDCSCdP8M5	Puntarenas, Costa Rica	16:23:51 04/04/2016
Apokalypse_8_1	@lilicatadiaz @Samira0710 @CaracolTV @petrogustavo Publicaciones como #wikileaks la ilegalidad de #hackingteam y hoy #panamapapers INFORMAN	antipedofilia.org@gmail.com	16:25:14 04/04/2016
Bastetlove3	RT @Ahnonavidul: Y mientras nos calientan la sangre con el #PanamaPapers han iniciado las primeras deportaciones de refugiados desde Grecia…	Córdoba	16:27:59 04/04/2016
arhs201	Citra Putin Tidak Tergoyahkan oleh Panama Papers: Kelompok oposisi menyebut, Panama Papers tidak akan mengubah... https://t.co/pBE7sR1bG4	None	16:27:59 04/04/2016
patri2611	RT @EquipoCFK: Las cuentas sin declarar del presidente Macri recorren el mundo: TIME, Financial Times, BBC, USA Today #PanamaPapers https:/…	None	16:23:57 04/04/2016
TaktikStrateji	Ukrayna Devlet Başkanı Petro Poroşenko, Panama belgelerinde geçen, hakkındaki iddiaları yalanladı.	Turkey / Ankara	16:23:59 04/04/2016
BistroDelmarva	Los periodistas d @sextaNoticias y @elconfidencial han buscado los nombres de la familia Lara en los #PapelesDePanama pq tb es conocido q..	A les Cassoles de Sant Gervasi	16:27:50 04/04/2016
JuliusCaesar69	RT @asta_fish: Motion for distrust of the Prime Minister of #iceland and the governmt has been put forward. #breaking #panamapapers https:/…	The Internet	16:29:12 04/04/2016
IRMO_DE_JESUX	RT @cuervoji: Le caen a Petro por lo de Panamá y no entiendo porqué. Ni él está en esa lista y que tiene que ver con el esposo de la herman…	None	16:22:58 04/04/2016
sedrick513	Panama Papers suena como una serie bien dura	None	16:22:59 04/04/2016
EnemigoPub	RT @agenteangleton: Vergüenza mucha... Así saco la CNN al aire al embajador en Panamá. Y no es joda. Mucha vergüenza. Esto votaste. https:/…	la concha de tu hermana	16:24:31 04/04/2016
elmercuriotam	SAT inicia investigación por #PanamaPapers #CdVictoria https://t.co/1kRk1Kjj44 https://t.co/o7OhsNaqeV	Tamaulipas	16:26:13 04/04/2016
AlfaTelevizija	“Panama leaks” – најголемо откривање на документи за перење пари https://t.co/7i0vlHhpHK	Качанички пат б.б, 1000 Скопје	16:26:15 04/04/2016
androworldnews	Russian economy minister on Panama Papers: my name's not related to it https://t.co/GB3XCzmrEn #bonds	California	16:27:38 04/04/2016
Moe456	RT @fernhilldammit: Tax scams by the rich infuriate me. And should infuriate all honest people. #PanamaPapers #NameThem	Alberta, Canada	16:28:58 04/04/2016
rwxoxo	Panama papers sounds like a Triple Cs mixtape  https://t.co/1zhEtoh8tt	the UES 	16:21:45 04/04/2016
LeoKnock	Economische migranten worden ondersteund als ze visumwetten overtreden, maar kapitaal zou onder kerktoren moeten blijven, k bye #panamaleaks	 República de San Theodoros	16:23:35 04/04/2016
cyarnoz	RT @lemondelive: "#PanamaPapers" : Le parquet financier français ouvre une enquête pour « blanchiment de fraudes fiscales aggravées » https…	Paris	16:30:01 04/04/2016
opelrekord58	Comunicado de Leo Messi por los "papeles de Panamá" https://t.co/1AOg86qYz7  SI COBRARAN LO YO COBRO NO PRECISARIAN ESAS FRAUDES.jajajajaja	Uruguay	16:21:38 04/04/2016
Alvard	RT @mompontet: #panamapapers Maintenant on sait. Ce n'est pas une crise mais un pillage.	None	16:21:25 04/04/2016
linfar4563	RT @SaucyMonk: If media is so controlled and tight-lipped then, why the sudden outbursts of coverage surrounding corruption? #panamafrank N…	None	16:28:44 04/04/2016
SirZech	Panama papers story funny af	Lagos.	17:32:51 04/04/2016
LeszekGrobelsk2	RT @michalrachon: Czy Cameon pisał już na swoim fejsie, że #PanamaPapers to antysemicki atak jego zmarłego ojca? https://t.co/sxLvdmb7u5	Polska	17:35:01 04/04/2016
Joffre77	Aprovechando los famosos #PanamaPapers, saltan un montón de troll, y en buena hora para B&amp;S	(+593-2)   	17:27:15 04/04/2016
MaxPower1737	RT @pictoline: A propósito de los Papeles de Panamá, ¿cómo funciona el lavado de dinero? https://t.co/qBioQzQRAx	Mexico	17:27:15 04/04/2016
PatrickDumars	RT @CNN: Panama Papers: Iceland's PM faces calls to resign over offshore company https://t.co/GOybhoJZ76 https://t.co/qKeBsrOEuf	NOLA	17:28:38 04/04/2016
clamencez	RT @MauroSantonii: Alonso y Del Sel son preocupantes. Los abogados del HBSC en la UIF encargada de investigar el lavado de dinero también.…	None	17:31:03 04/04/2016
bumfordma	RT @mexicoenlinea: #PanamaPapers destapa las porquerías de (@YoconYunes)  y sus hijos #México #Veracruz https://t.co/mGXZxxFATr https://t.c…	None	17:34:37 04/04/2016
HenriquitOViiga	Moscovici dice que la filtración de los papeles de Panamá es "una excelente noticia" https://t.co/DMroSnz2zB	None	17:37:23 04/04/2016
SimonCatRiley	RT @UKuncut: "All in this together" eh Dave!?!?! #PanamaLeaks https://t.co/69wDMYv2ak	iPhone: 51.758167,-1.267282	17:28:59 04/04/2016
HMEZANI	#panamapapers a le mérite de montrer qu'on est dans pas complètement isolé de ce monde	Alger	17:30:13 04/04/2016
Kakipavon	RT @juan_demonte: #Volvemos CNN debía poner la foto del embajador argentino en Panamá ante el escándalo. Y la puso nomás...Noooooooo!! http…	None	17:33:35 04/04/2016
tlachuacha09	@antitelevisamx @cottonymouth jjajajajajja hasta frodo ha de tener sus cuentas en panama	None	17:29:22 04/04/2016
DelRastogi	RT @DrGPradhan: 5  Few name missing in above list. @IndianExpress will protect masters  "Ambanis, SRK, Pawars, Vadra" in list  #panamapapers	Delhi	17:34:53 04/04/2016
angela_verge	RT @esecundarios: La lista de los papeles de Panamá es fantástica porque al ser tan variada puedes destacar al que te salga de tu níspero s…	None	17:34:55 04/04/2016
CameronMoy	RT @asta_fish: Largest protest in a long time. Seen from the parliament window. #iceland #panamaleaks #cashljós https://t.co/CoetpNmPtn	Soar Alba, An Roinn-Eòrpa	17:29:06 04/04/2016
CANNETEX	Panama papers : comptes offshores https://t.co/IqzvuyhZJ2 via @BlogdeJM	Alpes-Maritimes, Provence-Alpes-Côte d'Azur	17:30:44 04/04/2016
thierrypasquet1	RT @myriam_benraad: Panama Papers : a part ca, ce sont les "petits fraudeurs a la CAF et au RSA" les "mezants".	Paris, France	17:32:04 04/04/2016
Anipacha	RT @teleamazonasec: Tres ecuatorianos aparecen en los documentos filtrados de #PanamaPapers https://t.co/wzjAWyy79v https://t.co/kKhXatesNE	Kitu	17:32:03 04/04/2016
Frankcgp	RT @albaciudad: Presidente ecuatoriano aplaudió investigación de Papeles de Panamá  https://t.co/iMN3wYO11Y https://t.co/DszNmoxFS9	Del Lado Del Pueblo Trabajador	17:37:02 04/04/2016
gusrick16	Cuando Panamá iniciará la suya??   https://t.co/et2mLISyqt	Panamá	17:28:32 04/04/2016
philipaohlund	Iceland PM defiant, as EU weighs reaction to Panama leaks https://t.co/IRPT4jrjsV	Malmö, Sweden	17:29:34 04/04/2016
KariTennis04	RT @CNN: Law firm tied to leaked Panama Papers says it is a victim of data theft and denies any wrongdoing https://t.co/y6GDbL7BFM	None	17:29:31 04/04/2016
atesbahadir	RT @GaziCaglar: Panama bir skandal değildir, özellikle neoliberal dönemde dünya çapında sistematik bir şekilde örgütlenen soyguncu kapitali…	None	17:29:31 04/04/2016
Aweh_today	RT @AlertZaAfrica: FIFA rocked again as ethics judge is named in the 'Panama Papers' #PanamaLeaks https://t.co/mK1ncBStcp... https://t.co/q…	Mzansi	17:33:58 04/04/2016
AnetteBj	RT @HCHolte: #Panamaleaks setter en tykk strek under behov for internasj utveksling av informasjon og mer åpenhet skatteområdet https://t.c…	None	17:36:44 04/04/2016
g_carlitos	RT @fantinofantino: Si la propia @CFKArgentina hubiese aparecido en #panamapapers los periodistas mediríamos con la misma vara creen uds	Marcos Paz, Buenos Aires	17:27:50 04/04/2016
datagoodies	RT @pulitzercenter: #PanamaPapers examines offshore finance, which enables war, drug trafficking and more. https://t.co/Qe77mwSx4X https://…	CT Shore, NYC	17:27:58 04/04/2016
comoalilive	RT @JRapacioli: Panamá promete investigar y en la Casa Rosada hay preocupación  - Vía @PoliticaClarin -  https://t.co/xGJAKuZBrQ	None	17:31:47 04/04/2016
jccfat	RT @LoQueSigue_: ¿Qué son los Papeles de Panamá y por qué son importantes?: Carmen Aristegui te lo explica https://t.co/lqLqrXcItz	None	17:31:47 04/04/2016
a_phaahla	RT @cnni: What you need to know about the #PanamaPapers: https://t.co/4g5Q1RDBpP #PanamaLeaks https://t.co/6ceBYS2yRA	None	17:34:24 04/04/2016
Linda_Mldv	RT @CECKERT56: Des enquêtes fiscales sont déjà en cours, une information judiciaire est lancée #panamapapers	Marseille 	17:35:10 04/04/2016
huginnf	#panamapapers causing a political earthquake in Iceland. Demand for immediate resignation of PM. Massive protest. https://t.co/ii74KhqiEN	Iceland	17:28:09 04/04/2016
Dorierez	The Panama Papers: Victims of Offshore  . More to it than you think: https://t.co/bM376l4lxn via @YouTube	None	17:34:09 04/04/2016
Kneka10	RT @decodeurs: #Panamapapers, le récap’, épisode 2 : chefs d’Etat, #FIFA et #Messi https://t.co/GGJKZhJ9sC https://t.co/2SjtgPgR48	None	17:35:19 04/04/2016
FaiziiAhmad	RT @_Mansoor_Ali: #PMLN supporters and ministers criticizing Imran Khan on #PanamaLeaks is like criticizing our hockey team for the bad per…	None	17:35:20 04/04/2016
elvyshop	RT @ActualidadRT: Encuesta: ¿Por qué los medios se centran en Putin si no es mencionado en 'papeles de Panamá'?https://t.co/vqIe8TqIum http…	El Salvador	18:32:11 04/04/2016
YusBeard	@BFMTV  Vous êtes capable de donner en direct la planque d'un otage mais incapable de dire où votre boss planque son fric ? #panamaLeaks	None	18:33:42 04/04/2016
LuriLug	RT @PeriodismoLibre: #URGENTE: Impresionante manifestación en Islandia, vista desde el despacho del Primer Ministro #PanamaPapers https://t…	None	18:33:37 04/04/2016
trixiemarie17	RT @MarkRuffalo: Surprise surprise. Corporate Media Gatekeepers Protect Western 1% From Panama Leak: https://t.co/HocctITIVe - via:@CraigMu…	Detroit, MI	18:37:09 04/04/2016
ian554	RT @FrayJosepho: Almodóvar tiene que llevarse el dinero a Panamá por el IVA cultural. A él le duele en el alma no tributar aquí. Cuando gan…	None	18:38:26 04/04/2016
Schnittgemuese	RT @ianbremmer: Panama Papers on US front pages... or not https://t.co/uCYw3IJuvk	Muenster, Germany	18:32:46 04/04/2016
actualite24	Panama Papers Macron "choqué" par les révélations. https://t.co/oG9weRkUbw	France	18:32:40 04/04/2016
TuffLea	RT @NewPakistan2020: Protests in #Iceland After #PanamaLeaks.  That's how Nations Progress. This is Democracy! #AskPMLNSupporters  https://…	East Sussex	18:32:40 04/04/2016
Jinit12345	RT @DrGPradhan: 16  @ManishTewari did u bought front page of Newspapers today to hide #panamapapers leak from Assam Bengal voting? https://…	Bharat Mata Ki Jai	18:32:42 04/04/2016
whitbyemma	RT @haveigotnews: Ed Miliband looking forward to Daily Mail 'The man who hated Britain' story about David Cameron's father. #PanamaLeaks	Liverpool 	18:33:59 04/04/2016
CarmenC07182975	RT @Cazatalentos: Si has pagado un 35% de impuestos eres un pringao... los de Papeles de Panamá el gobierno de Rajoy les blanqueó el dinero…	None	18:38:15 04/04/2016
ogutiep	RT @lindabran1: @nexnoticias El exmagistrado Gerardo Solís,pide a la Procuradora Kenia Porcell pronunciarse sobre Panamá Papers https://t.c…	Valencia-Edo. Carabobo	18:39:21 04/04/2016
cjbieberach50	RT @TReporta: España investiga implicación de sociedades españolas en #PanamaPapers https://t.co/LFALY6VYHN https://t.co/cmHBSm4z2H	None	18:40:18 04/04/2016
will_brickner	RT @Snowden: The population of Iceland is only 330,000. Largest protest by percentage of population in history? #PanamaPapers https://t.co/…	Evanston, IL	18:41:52 04/04/2016
JonathanCamp	The Panama Papers highlight how anonymity fuels corruption - A trail of $2 billion in offshore deals that trace... https://t.co/5Ac8fKdbAc	Newton Abbot, Devon, UK	18:32:31 04/04/2016
TerryMcGinnUK	Corporate Media Gatekeepers Protect Western 1% From Panama Leak: https://t.co/GKHsSnAxjR - via:@CraigMurrayOrg	Lancashire	18:32:38 04/04/2016
tiredwebaddict	RT @ICIJorg: BREAKING: The #PanamaPapers - Politicians, Criminals and the Rogue Industry That Hides Their Cash https://t.co/LDcslHoLAb	tumblr probably 	18:32:35 04/04/2016
JoshiRakesh2004	RT @DrGPradhan: @Shubhamdoneria i told u #panamapapers is a CIA game @bhak_sala	sydney	18:36:11 04/04/2016
JoRichardsKent	RT @SGT_R0ck: Twitters been great on the #PanamaLeaks today... But it's down to BBCs #Panorama to bring it right into the spotlight :-)	Kent	18:37:49 04/04/2016
vijupv	RT @DrGPradhan: 45  CIA via #panamapaper throw out Nawaz who is changing track from Army &amp; ISI agenda. Once out the one who will benefit mo…	Bangalore, India	18:39:04 04/04/2016
sy_mare	RT @28minutes: “C’est la partie immergée de l’iceberg” @M_Aubry_ #panamapapers #FraudeFiscale #28min	None	18:40:33 04/04/2016
PaulBeltranU	RT @DonLiberio: Asambleista @andrespaezec pide la renuncia del Fiscal @Galo_Chiriboga | Política #PapelesPanama https://t.co/YiiQmHA1w4	None	18:41:34 04/04/2016
JoseMarusich	RT @DinSheldon: 3. #panamapapers Panamá no es el único país en donde se forman sociedades offshore, también se hacen #EEUU, #Uruguay y #Par…	None	18:33:22 04/04/2016
jaycamikenGL	People throwing eggs at @Althingi The view from the inside #panamapapers #iceland #panamaleaks #cashljós https://t.co/TAcwbe6j4D @asta_fish	Las Vegas, NV	18:34:17 04/04/2016
HugoRRoldan	RT @di__tir: Parece q no solo Jorge Macri es Secretario de una sociedad en Panama, sino que declaro un domiciio en Montevideo https://t.co/…	Rosario, Argentina	18:35:26 04/04/2016
konart	RT @sharpseth: Thousands are here for the #protest  in #Reykjavik. #PanamaLeaks #Iceland #SigmundurDavid #austurvollur https://t.co/E9LuJjP…	Moscow. Russia	18:35:30 04/04/2016
RMJ83	The rich get richer while the poor get poorer #panamapapers	None	18:36:42 04/04/2016
ozcanbayram1979	RT @SonVesayet: #panamapapers nedir, nerelere ulaşır? Konu hakkında hazırlanmış en iyi videoyu sizler için çevirdik!  Paylaşalım! https://t…	None	18:38:43 04/04/2016
VishAll_V	RT @swaraj_abhiyan: Prashant Bhushan asks some straight question son the recent expose of Panama Papers. https://t.co/SKsfWgonEp	Lucknow	18:39:58 04/04/2016
AntonioOLALLA	RT @5continentes_R5: .@SandraUrdin entrevista en @5continentes_R5 a @jaazcona de @oxfam_es sobre los #PapelesDePanamá #PanamaLeaks	Madrid-Mazatlán- Collado	18:40:05 04/04/2016
YnicStudio	El Barça se pronuncia sobre los Papeles de Panamá https://t.co/x0tHlJRPMF https://t.co/2nRXLOWM64  — AS (diarioa… https://t.co/UbK8CE5qmr	None	18:32:06 04/04/2016
Agent_Zig_Zag	RT @stephane_ulrich: Remember when David #Cameron said 'tax dodging is morally wrong'. He's changed his tune now.  #PanamaLeaks #Trafford h…	The Northern Powerhouse	18:34:29 04/04/2016
miguelencita	@MCandela_ Ruego ver escrito de @APEDANICA en https://t.co/TbI1m2Ev7f ¿Cómo avanzar de Panamá hacia bancos responsables? ¿Hablamos? RT	Islas remotas y Madrid SPAIN	18:34:29 04/04/2016
estreptocarlos3	RT @alarconcasanova: Increíble: iban a filtrar los datos de Panama Papers el 15 de noviembre. La historia estuvo a punto de ser otra.	None	18:35:39 04/04/2016
OnPointRadio	We'll have more on this story, tomorrow 10/9c https://t.co/Vqruwxu5dR #panamapapers  https://t.co/s5yn6wKMzW	WBUR, stations nationwide	18:35:40 04/04/2016
_wowka	@golub мозговой штурм: есть президент вор. Вопрос: сколько он должен украсть чтобы получить такой же результат? #panamapapers	None	18:36:49 04/04/2016
WellyTopping	BBC News - Panama Papers: Ukraine President Poroshenko denies tax claims - https://t.co/jX2uq07vAI	Wonderland	18:36:49 04/04/2016
NewsyNewsworld	The Panama Papers are super awkward for Beijing via /r/worldnews https://t.co/FawPKZ1AGY	None	18:38:01 04/04/2016
Jordiflors	RT @ramoncotarelo: Según "El País" los papeles de Panamá apuntan a Putin. De la Borbona, ni pío. Este diario cada día es más lacayo. https:…	None	18:40:34 04/04/2016
Muriel_BM	RT @abc_es: ▶ «Papeles de Panamá», «lista Falciani» y otros escándalos que no debilitaron los paraísos fiscales https://t.co/IHleVdGO6o	None	18:31:34 04/04/2016
Pompilious	Menos mal mis cuentas están en tangamandapio y el que me lava el billete es Jaimito el cartero... #PapelesPanama https://t.co/G0bGWsInVe	Barranquilla, Colombia.	18:33:04 04/04/2016
Romarkservices	#RealEstate #News Panama Papers: Miami Beach fraudsters hid loot in offshore companies https://t.co/qUFcU3rio2	West Palm Beach, FL	18:33:03 04/04/2016
NaguaOrganizada	Parlamento venezolano investigará a funcionarios mencionados en Los Papeles de Panamá https://t.co/t772t2gs5i https://t.co/WuToGxAFyY	Resistencia Y Libertad	18:35:49 04/04/2016
salchez1977	RT @arturoelias: Gracias a los #panamapapers ya sabemos quienes hacen travesuras. Ahora será interesante ver qué países actúan rápido y qui…	ÜT: 21.051326,-101.582142	18:35:45 04/04/2016
eg_imagomundi	RT @steve_sps: Mother, should I run for president? Mother, should I trust the government?  The Wall #PinkFloyd #PanamaLeaks https://t.co/5t…	nell'Universo sto...	18:35:23 04/04/2016
eudesrodriguez1	RT @sumariumcom: #AHORA AN investigará el caso de los “Panamá Papers” - https://t.co/e2MbiOHuJ6 https://t.co/bva5gc2Cbg	None	18:36:28 04/04/2016
nateog	U.S. Reviewing Panama Documents for Potential Evidence of Corruption     https://t.co/EAqcg6gkyU via @WSJ	San Francisco	18:37:24 04/04/2016
